sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"E60HL-240050-011-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","E60HL-240050-011-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : ARCTIC PETROLEUM SERVICES LTD (CW2351253-ACM_174588120).","Aviation fuel","Carburants d'aviation",15101504,"ARCTIC PETROLEUM SERVICES LTD","ARCTIC PETROLEUM SERVICES LTD",,"Department of National Defence","Ministère de la défense nationale",2024-05-14,2026-05-31,CA-YT,Yukon,Yukon,NMSO,OCPN,CW2361601,"2026-03-12 22:50:03"
"Aircraft Charter Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"FRONTLINE HELICOPTERS LTD","Frontline Helicopters Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2023-06-01,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361650,"2026-03-12 22:50:03"
"Aircraft Charter Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"HéLI/EXPRESS INC","Héli/Express Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361687,"2026-03-12 22:50:03"
"Aircraft Charter Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"OCEANVIEW HELICOPTERS LTD","Oceanview Helicopters Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361690,"2026-03-12 22:50:03"
"Aircraft Charter  Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"QUANTUM HELICOPTERS LTD","Quantum Helicopters Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361692,"2026-03-12 22:50:03"
"Aircraft  Charter Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"SEAIR SEAPLANES LTD","Seair Seaplanes Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361694,"2026-03-12 22:50:03"
"Aircraft  Charter  Services","services d'affrètement aérien","Rental of freight aircraft with operator","Location d'un aéronef de fret avec opérateur",78142001,"VOYAGEUR AVIATION CORP","Voyageur Aviation Corp.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-05-31,CA,Canada,Canada,NMSO,OCPN,CW2361696,"2026-03-12 22:50:03"
"W6856-24V302 - RISO Propane in Bulk","W6856-24V302 - OCIR Propane en Vrac","Supply of natural gas, Propane","Distribution de gaz naturel, Propane","83101601, 15111501","CAPITAL PROPANE INC","Capital Propane Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-31,2027-05-31,CA-QC,Quebec,Québec,RISO,OCIR,CW2361759,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"E60HL-240050-012-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: HAPPY GAS INC (CW2351253-ACM_178215844).","E60HL-240050-012-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : HAPPY GAS INC (CW2351253-ACM_178215844).","Aviation fuel","Carburants d'aviation",15101504,"HAPPY GAS INC","Happy Gas Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-YT,Yukon,Yukon,NMSO,OCPN,CW2361788,"2026-03-12 22:50:03"
"Mandatory Commodity - Video Surveillance Supply Arrangement E60HN-24VSSA. Legacy agreement: CAMCENTRAL SYSTEMS INC (CW2358949-ACM_181655706).","Produit obligatoire - Arrangement en matière d'approvisionnement en vidéosurveillance E60HN-24VSSA. Ancien accord : CAMCENTRAL SYSTEMS INC (CW2358949-ACM_181655706).","Closed circuit television CCTV system","Système de télévision en circuit fermé (TVCF)",46171622,"CAMCENTRAL SYSTEMS INC","CamCentral Systems Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-23,2029-04-22,CA,Canada,Canada,SA,AMA,CW2361820,"2026-03-12 22:50:03"
"23295-241176 Valve-Fittings Standing Offer RISO","23295-241176 Offre à commandes de valves-raccords OCIR","Hardware and fittings","Raccords et pièces",40141700,"EDMONTON VALVE & FITTING INC","EDMONTON VALVE & FITTING INC.",,"Natural Resources Canada","Ressources naturelles Canada",2024-06-13,2027-08-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2361848,"2026-03-12 22:50:03"
"Tree and Stump Removal Services","Services d'enlèvement d'arbres et de souches","Arborist services","Services d'arboriculture",70111506,"KODIAK TREE SERVICE","KODIAK TREE SERVICE",,"Department of National Defence","Ministère de la défense nationale",2024-05-17,2027-03-31,CA-ON,Ontario,Ontario,RISO,OCIR,CW2361871,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-004-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","E60HL-240050-004-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AéROPORT EXéCUTIF GATINEAU-OTTAWA (CW2351253-ACM_177275117).","Aviation fuel","Carburants d'aviation",15101504,"AéROPORT EXéCUTIF GATINEAU-OTTAWA","Aéroport Exécutif Gatineau-Ottawa",,"Department of National Defence","Ministère de la défense nationale",2024-05-15,2026-05-31,CA-YT,Yukon,Yukon,NMSO,OCPN,CW2361873,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
